,ticker,exchange,assetType,priceCurrency,startDate,endDate
147,000538,SHE,Stock,CNY,2016-02-23,2020-06-19
148,000539,SHE,Stock,CNY,2000-01-03,2020-06-19
149,000540,SHE,Stock,CNY,2017-08-18,2020-06-19
150,000541,SHE,Stock,CNY,2000-01-03,2020-06-19
151,000542,SHE,Stock,CNY,,
152,000543,SHE,Stock,CNY,2018-01-01,2020-06-19
153,000544,SHE,Stock,CNY,2018-01-01,2020-06-19
154,000545,SHE,Stock,CNY,2018-01-02,2020-06-19
155,000546,SHE,Stock,CNY,2018-01-01,2020-06-19
156,000547,SHE,Stock,CNY,2007-08-30,2020-06-19
157,000548,SHE,Stock,CNY,2018-01-01,2020-06-19
158,000549,SHE,Stock,CNY,,
159,000550,SHE,Stock,CNY,2018-01-01,2020-06-19
160,000551,SHE,Stock,CNY,2018-01-02,2020-06-19
161,000552,SHE,Stock,CNY,2018-01-01,2020-06-19
162,000553,SHE,Stock,CNY,2018-01-01,2020-06-19
163,000554,SHE,Stock,CNY,2018-01-02,2020-06-19
164,000555,SHE,Stock,CNY,2018-01-01,2020-06-19
165,000556,SHE,Stock,CNY,,
166,000557,SHE,Stock,CNY,2007-08-30,2020-06-19
167,000558,SHE,Stock,CNY,2007-08-30,2020-06-19
168,000559,SHE,Stock,CNY,2018-01-01,2020-06-19
169,000560,SHE,Stock,CNY,2018-01-01,2020-06-19
170,000561,SHE,Stock,CNY,2000-01-03,2020-06-19
171,000562,SHE,Stock,CNY,,
172,000563,SHE,Stock,CNY,2018-01-01,2020-06-19
173,000564,SHE,Stock,CNY,2007-08-30,2020-06-19
174,000565,SHE,Stock,CNY,2018-01-01,2020-06-19
175,000566,SHE,Stock,CNY,2017-11-21,2020-06-19
176,000567,SHE,Stock,CNY,2018-01-01,2020-06-19
177,000568,SHE,Stock,CNY,2018-01-01,2020-06-19
178,000569,SHE,Stock,CNY,,
179,000570,SHE,Stock,CNY,2000-01-03,2020-06-19
180,000571,SHE,Stock,CNY,2018-01-02,2020-06-19
181,000572,SHE,Stock,CNY,2018-01-02,2020-06-19
182,000573,SHE,Stock,CNY,2018-01-01,2020-06-19
183,000576,SHE,Stock,CNY,2007-08-30,2020-06-19
184,000578,SHE,Stock,CNY,,
185,000581,SHE,Stock,CNY,2000-01-04,2020-06-19
186,000582,SHE,Stock,CNY,2018-01-01,2020-06-19
187,000583,SHE,Stock,CNY,,
188,000584,SHE,Stock,CNY,2018-01-01,2020-06-19
189,000585,SHE,Stock,CNY,2007-08-30,2020-06-19
190,000586,SHE,Stock,CNY,2000-01-04,2020-06-19
191,000587,SHE,Stock,CNY,2000-01-03,2020-06-19
192,000588,SHE,Stock,CNY,,
193,000589,SHE,Stock,CNY,2018-01-02,2020-06-19
194,000590,SHE,Stock,CNY,2018-01-02,2020-06-19
195,000591,SHE,Stock,CNY,2018-01-01,2020-06-19
196,000592,SHE,Stock,CNY,2015-01-05,2020-06-19
197,000593,SHE,Stock,CNY,2000-01-03,2020-06-19
198,000594,SHE,Stock,CNY,,
199,000595,SHE,Stock,CNY,2000-01-03,2020-06-19
200,000596,SHE,Stock,CNY,2000-01-03,2020-06-19
201,000597,SHE,Stock,CNY,2018-01-01,2020-06-19
202,000598,SHE,Stock,CNY,2018-01-01,2020-06-19
203,000599,SHE,Stock,CNY,2018-01-01,2020-06-19
204,000600,SHE,Stock,CNY,2018-01-01,2020-06-19
205,000601,SHE,Stock,CNY,2018-01-01,2020-06-19
206,000602,SHE,Stock,CNY,,
207,000603,SHE,Stock,CNY,2018-01-01,2020-06-19
208,000605,SHE,Stock,CNY,2000-01-03,2020-06-19
209,000606,SHE,Stock,CNY,2007-08-30,2020-06-19
210,000607,SHE,Stock,CNY,2000-01-03,2020-06-19
211,000608,SHE,Stock,CNY,2018-01-02,2020-06-19
212,000609,SHE,Stock,CNY,2000-01-05,2020-06-19
213,000610,SHE,Stock,CNY,2018-01-01,2020-06-19
214,000611,SHE,Stock,CNY,2018-01-02,2020-06-19
215,000612,SHE,Stock,CNY,2018-01-01,2020-06-19
216,000613,SHE,Stock,CNY,2007-08-30,2020-06-19
217,000615,SHE,Stock,CNY,2018-01-02,2020-06-19
218,000616,SHE,Stock,CNY,2007-08-30,2020-06-19
219,000617,SHE,Stock,CNY,2018-01-01,2020-06-19
220,000618,SHE,Stock,CNY,,
221,000619,SHE,Stock,CNY,2000-01-03,2020-06-19
222,000620,SHE,Stock,CNY,2000-01-04,2020-06-19
223,000621,SHE,Stock,CNY,,
224,000622,SHE,Stock,CNY,2013-02-08,2020-06-19
225,000623,SHE,Stock,CNY,2000-01-03,2020-06-19
226,000625,SHE,Stock,CNY,2000-01-03,2020-06-19
227,000626,SHE,Stock,CNY,2018-01-02,2020-06-19
228,000627,SHE,Stock,CNY,2000-01-03,2020-06-19
229,000628,SHE,Stock,CNY,2007-08-30,2020-06-19
230,000629,SHE,Stock,CNY,2017-04-19,2020-06-19
231,000630,SHE,Stock,CNY,2000-01-03,2020-06-19
232,000631,SHE,Stock,CNY,2018-01-01,2020-06-19
233,000632,SHE,Stock,CNY,2000-01-04,2020-06-19
234,000633,SHE,Stock,CNY,2007-08-30,2020-06-19
235,000635,SHE,Stock,CNY,2018-01-01,2020-06-19
236,000636,SHE,Stock,CNY,2000-01-03,2020-06-19
237,000637,SHE,Stock,CNY,2000-01-03,2020-06-19
238,000638,SHE,Stock,CNY,2009-06-05,2020-06-19
239,000639,SHE,Stock,CNY,2018-01-01,2020-06-19
240,000650,SHE,Stock,CNY,2018-01-01,2020-06-19
241,000651,SHE,Stock,CNY,2018-01-01,2020-06-19
242,000652,SHE,Stock,CNY,2000-01-04,2020-06-19
243,000653,SHE,Stock,CNY,,
244,000655,SHE,Stock,CNY,2000-01-04,2020-06-19
245,000656,SHE,Stock,CNY,2018-01-01,2020-06-19
246,000657,SHE,Stock,CNY,2018-01-02,2020-06-19
247,000658,SHE,Stock,CNY,,
248,000659,SHE,Stock,CNY,2018-01-02,2020-06-19
249,000660,SHE,Stock,CNY,,
250,000661,SHE,Stock,CNY,2000-01-03,2020-06-19
251,000662,SHE,Stock,CNY,2018-01-02,2020-06-19
252,000663,SHE,Stock,CNY,2000-01-03,2020-06-19
253,000665,SHE,Stock,CNY,2000-01-03,2020-06-19
254,000666,SHE,Stock,CNY,2018-01-01,2020-06-19
255,000667,SHE,Stock,CNY,2018-01-02,2020-06-19
256,000668,SHE,Stock,CNY,2018-01-01,2020-06-19
257,000669,SHE,Stock,CNY,2018-01-02,2020-06-19
258,000670,SHE,Stock,CNY,2018-01-02,2020-03-19
259,000671,SHE,Stock,CNY,2018-01-01,2020-06-19
260,000672,SHE,Stock,CNY,2000-01-03,2020-06-19
261,000673,SHE,Stock,CNY,2002-09-25,2020-06-19
262,000675,SHE,Stock,CNY,,
263,000676,SHE,Stock,CNY,2018-01-01,2020-06-19
264,000677,SHE,Stock,CNY,2000-01-03,2020-06-19
265,000678,SHE,Stock,CNY,2000-01-03,2020-06-19
266,000679,SHE,Stock,CNY,2018-01-02,2020-06-19
267,000680,SHE,Stock,CNY,2018-01-01,2020-06-19
268,000681,SHE,Stock,CNY,2018-01-01,2020-06-19
269,000682,SHE,Stock,CNY,2018-01-02,2020-06-19
270,000683,SHE,Stock,CNY,2018-01-02,2020-06-19
271,000685,SHE,Stock,CNY,2018-01-01,2020-06-19
272,000686,SHE,Stock,CNY,2000-01-03,2020-06-19
273,000687,SHE,Stock,CNY,2018-01-02,2020-06-19
274,000688,SHE,Stock,CNY,2018-01-02,2020-06-19
275,000689,SHE,Stock,CNY,,
276,000690,SHE,Stock,CNY,2000-01-03,2020-06-19
277,000691,SHE,Stock,CNY,2009-09-01,2020-06-19
278,000692,SHE,Stock,CNY,2018-01-02,2020-06-19
279,000693,SHE,Stock,CNY,2018-03-21,2019-07-08
280,000695,SHE,Stock,CNY,2018-01-16,2020-06-19
281,000697,SHE,Stock,CNY,2018-01-02,2020-06-19
282,000698,SHE,Stock,CNY,2018-01-01,2020-06-19
283,000699,SHE,Stock,CNY,,
284,000700,SHE,Stock,CNY,2000-01-03,2020-06-19
285,000701,SHE,Stock,CNY,2000-01-03,2020-06-19
286,000702,SHE,Stock,CNY,2000-01-03,2020-06-19
287,000703,SHE,Stock,CNY,2018-01-01,2020-06-19
288,000705,SHE,Stock,CNY,2018-01-01,2020-06-19
289,000707,SHE,Stock,CNY,2018-01-02,2020-06-19
290,000708,SHE,Stock,CNY,2000-01-03,2020-06-19
291,000709,SHE,Stock,CNY,2000-01-03,2020-06-19
292,000710,SHE,Stock,CNY,2000-01-03,2020-06-19
293,000711,SHE,Stock,CNY,2018-01-02,2020-06-19
294,000712,SHE,Stock,CNY,2018-01-02,2020-06-19
295,000713,SHE,Stock,CNY,2018-01-01,2020-06-19
296,000715,SHE,Stock,CNY,2000-01-03,2020-06-19
297,000716,SHE,Stock,CNY,2018-01-02,2020-06-19
298,000717,SHE,Stock,CNY,2000-01-03,2020-06-19
299,000718,SHE,Stock,CNY,2018-01-01,2020-06-19
300,000719,SHE,Stock,CNY,2018-01-01,2020-06-19
301,000720,SHE,Stock,CNY,2007-08-30,2020-06-19
302,000721,SHE,Stock,CNY,2018-01-02,2020-06-19
303,000722,SHE,Stock,CNY,2018-01-01,2020-06-19
304,000723,SHE,Stock,CNY,2000-01-03,2020-06-19
