,ticker,exchange,assetType,priceCurrency,startDate,endDate
10994,BDCYY,OTCMKTS,Stock,USD,2019-04-22,2019-04-26
10995,BDCZ,NYSE ARCA,ETF,USD,2015-10-09,2020-06-22
10996,BDDDY,PINK,Stock,USD,,
10997,BDDSF,OTCBB,Stock,USD,2016-09-01,2017-09-18
10998,BDDXF,PINK,ETF,USD,2008-06-18,2020-06-16
10999,BDE,NASDAQ,Stock,USD,1998-05-27,2017-08-11
11000,BDE1,,Stock,USD,,
11001,BDEC,BATS,ETF,USD,2019-12-02,2020-06-22
11002,BDEIX,NMFQS,Mutual Fund,USD,2013-12-23,2017-08-11
11003,BDERX,NMFQS,Mutual Fund,USD,2014-06-10,2017-08-11
11004,BDF,NYSE,Stock,USD,,
11005,BDFFX,NMFQS,Mutual Fund,USD,2013-10-03,2020-06-22
11006,BDFH,OTCMKTS,Stock,USD,2015-12-01,2018-06-27
11007,BDFIX,NMFQS,Mutual Fund,USD,2013-10-03,2020-06-22
11008,BDFUX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-22
11009,BDFVX,NMFQS,Mutual Fund,USD,2017-02-01,2018-04-06
11010,BDG,NYSE ARCA,ETF,USD,2008-06-18,2017-07-14
11011,BDG1,,Stock,USD,,
11012,BDGCF,OTCGREY,Stock,USD,2019-05-24,2020-06-18
11013,BDGE,NASDAQ,Stock,USD,1999-01-12,2020-06-22
11014,BDGN,PINK,Stock,USD,2005-10-05,2017-11-07
11015,BDGND,PINK,Stock,USD,2017-11-08,2017-12-04
11016,BDGPA,,Stock,USD,,
11017,BDGR,PINK,Stock,USD,2017-10-02,2020-06-22
11018,BDGSF,PINK,Stock,USD,2014-11-24,2020-06-22
11019,BDGXF,OTCGREY,Stock,USD,2017-09-26,2020-05-27
11020,BDGY,PINK,Stock,USD,2014-10-20,2020-06-22
11021,BDGY,PINK,Stock,USD,2014-01-10,2020-04-21
11022,BDHAX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11023,BDHCX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11024,BDHIX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11025,BDHKX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-22
11026,BDI,,Stock,USD,,
11027,BDIC,PINK,Stock,USD,2016-01-05,2020-06-22
11028,BDIIX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
11029,BDIKX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
11030,BDIMF,PINK,Stock,USD,2010-02-04,2020-06-22
11031,BDIQX,NMFQS,Mutual Fund,USD,2015-09-22,2020-06-22
11032,BDJ,NYSE,ETF,USD,2005-08-29,2020-06-22
11033,BDJI,NASDAQ,Stock,USD,,
11034,BDK,OTCMKTS,Stock,USD,,
11035,BDKAX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-22
11036,BDKCX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-22
11037,BDKDX,NMFQS,Mutual Fund,USD,,
11038,BDKNX,NMFQS,Mutual Fund,USD,2015-12-31,2020-06-22
11039,BDL,NYSE,Stock,USD,1984-09-07,2020-06-22
11040,BDLAX,NMFQS,Mutual Fund,USD,1996-06-28,2020-06-22
11041,BDLN,NASDAQ,Stock,USD,,
11042,BDMAX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-22
11043,BDMCX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-22
11044,BDMIX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-22
11045,BDMKX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-22
11046,BDMS,OTCQX,Stock,USD,1998-03-05,2019-01-14
11047,BDMXY,OTCGREY,Stock,USD,,
11048,BDN,NYSE,Stock,USD,1986-07-24,2020-06-22
11049,BDN-P-E-CL,NYSE,Stock,USD,2017-03-13,2017-04-10
11050,BDNAX,NMFQS,Mutual Fund,USD,2016-01-04,2017-08-11
11051,BDNHF,OTCGREY,Stock,USD,2017-09-26,2020-06-15
11052,BDNNF,PINK,Stock,USD,2007-07-19,2019-06-13
11053,BDNNY,PINK,Stock,USD,2017-11-01,2020-06-22
11054,BDOAX,NMFQS,Mutual Fund,USD,2011-06-30,2020-06-22
11055,BDOGOX,NMFQS,Mutual Fund,USD,,
11056,BDOGPX,NMFQS,Mutual Fund,USD,,
11057,BDOGQX,NMFQS,Mutual Fund,USD,,
11058,BDOGRX,NMFQS,Mutual Fund,USD,,
11059,BDOGTX,NMFQS,Mutual Fund,USD,,
11060,BDOGUX,NMFQS,Mutual Fund,USD,,
11061,BDOIX,NMFQS,Mutual Fund,USD,2011-06-30,2020-06-22
11062,BDOKX,NMFQS,Mutual Fund,USD,2011-06-30,2020-06-22
11063,BDORY,PINK,Stock,USD,2009-12-03,2020-06-22
11064,BDOUF,OTCGREY,Stock,USD,2017-10-05,2020-05-28
11065,BDOUY,PINK,Stock,USD,2014-11-06,2020-06-22
11066,BDPT,PINK,Stock,USD,2016-01-04,2020-06-22
11067,BDR,NYSE,Stock,USD,1995-12-19,2020-06-22
11068,BDRAF,OTCQX,Stock,USD,2016-01-04,2020-06-22
11069,BDRAX,NMFQS,Mutual Fund,USD,2016-01-04,2019-02-27
11070,BDRBF,OTCQX,Stock,USD,2016-01-04,2020-06-22
11071,BDRCF,OTCMKTS,Stock,USD,2018-02-27,2018-03-09
11072,BDRCX,NMFQS,Mutual Fund,USD,2016-01-04,2019-02-27
11073,BDREF,PINK,Stock,USD,2016-01-07,2020-02-10
11074,BDREX,NMFQS,Mutual Fund,USD,2018-10-10,2020-06-22
11075,BDRFF,PINK,Stock,USD,2007-07-19,2020-06-22
11076,BDRFY,PINK,Stock,USD,2009-04-02,2020-06-22
11077,BDRGF,OTCGREY,Stock,USD,2017-10-13,2020-05-08
11078,BDRIX,NMFQS,Mutual Fund,USD,2016-01-04,2019-02-27
11079,BDRPF,OTCGREY,Stock,USD,2017-09-25,2020-06-17
11080,BDRQX,NMFQS,Mutual Fund,USD,,
11081,BDRSF,PINK,Stock,USD,2016-03-21,2020-06-02
11082,BDRWX,NMFQS,Mutual Fund,USD,2018-10-10,2020-06-22
11083,BDRXF,OTCGREY,Stock,USD,2010-02-17,2020-06-22
11084,BDRY,NYSE ARCA,ETF,USD,2018-03-22,2020-06-22
11085,BDRY1,,Stock,USD,,
11086,BDS,NASDAQ,Stock,USD,,
11087,BDSAX,NMFQS,Mutual Fund,USD,2014-01-03,2020-06-22
11088,BDSCX,NMFQS,Mutual Fund,USD,2014-01-02,2020-06-22
11089,BDSHX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11090,BDSI,NASDAQ,Stock,USD,2002-07-25,2020-06-22
11091,BDSIX,NMFQS,Mutual Fund,USD,2014-01-02,2020-06-22
11092,BDSKX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-22
11093,BDSQX,NMFQS,Mutual Fund,USD,2014-05-30,2020-06-22
11094,BDSRX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11095,BDSYX,NMFQS,Mutual Fund,USD,2015-01-06,2020-06-22
11096,BDT1,NYSE,Stock,USD,,
11097,BDTX,NASDAQ,Stock,USD,2020-01-30,2020-06-22
11098,BDULF,PINK,Stock,USD,2007-07-17,2020-06-22
11099,BDUUF,PINK,Stock,USD,2007-09-21,2020-06-22
11100,BDUUY,PINK,Stock,USD,2017-10-19,2020-03-25
11101,BDVB,PINK,Stock,USD,2017-05-25,2020-06-22
11102,BDVBD,PINK,Stock,USD,2017-05-25,2018-04-25
11103,BDVC,OTCMKTS,Stock,USD,2016-08-24,2017-12-06
11104,BDVIX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11105,BDVRX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11106,BDVSF,PINK,Stock,USD,2007-08-20,2020-06-22
11107,BDVSX,NMFQS,Mutual Fund,USD,2014-05-30,2020-06-22
11108,BDVSY,PINK,Stock,USD,2007-07-16,2020-06-22
11109,BDVYX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-22
11110,BDWBF,PINK,Stock,USD,2019-11-12,2020-06-22
11111,BDWYF,PINK,Stock,USD,2016-11-15,2020-02-24
11112,BDX,NYSE,Stock,USD,1983-04-06,2020-06-22
11113,BDXA,NYSE,Stock,USD,2017-05-11,2020-04-30
11114,BDXB,NYSE,Stock,USD,2020-05-21,2020-06-22
11115,BDY,NYSE,Stock,USD,,
11116,BDY1,,Stock,USD,,
11117,BDYS,OTCMKTS,Stock,USD,2017-09-28,2020-06-22
11118,BE,NYSE,Stock,USD,2018-07-25,2020-06-22
11119,BEAAX,NMFQS,Mutual Fund,USD,2006-09-25,2015-11-20
11120,BEABX,NMFQS,Mutual Fund,USD,2015-12-30,2016-06-06
11121,BEACX,NMFQS,Mutual Fund,USD,2006-09-25,2015-11-20
11122,BEAG,OTCMKTS,Stock,USD,2017-11-01,2020-06-22
